split,group_field,group_value,threshold,rows,positive_labels,negative_labels,gray_labels,precision,recall,f1,pr_auc
all,c1e_split,enriched,0.8,16000,2463,1717,11820,0.9247142294048089,0.9524969549330086,0.9384,0.9874801161119475
all,c1e_split,enriched,0.9,16000,2463,1717,11820,0.9450060655074808,0.9488428745432399,0.9469205834683955,0.9874801161119475
all,c1e_split,enriched,0.95,16000,2463,1717,11820,0.9581108829568789,0.9472188388144539,0.9526337280522662,0.9874801161119475
all,c1e_split,unbiased,0.8,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,c1e_split,unbiased,0.9,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,c1e_split,unbiased,0.95,4000,454,148,3398,0.9977777777777778,0.9889867841409692,0.993362831858407,0.9995123831817617
all,position,first,0.8,9936,1337,949,7650,0.9322157434402333,0.9566192969334331,0.9442598744924326,0.9887163970885244
all,position,first,0.9,9936,1337,949,7650,0.9465875370919882,0.9543754674644727,0.9504655493482308,0.9887163970885244
all,position,first,0.95,9936,1337,949,7650,0.9607547169811321,0.9521316379955124,0.9564237415477086,0.9887163970885244
all,position,second,0.8,10064,1580,916,7568,0.9369592088998764,0.959493670886076,0.9480925578486553,0.9914268728295977
all,position,second,0.9,10064,1580,916,7568,0.9569074778200254,0.9556962025316456,0.9563014566181127,0.9914268728295977
all,position,second,0.95,10064,1580,916,7568,0.9673076923076923,0.9550632911392405,0.9611464968152867,0.9914268728295977
all,source_bucket,from_pool,0.8,12000,1230,1603,9167,0.8570336391437309,0.9113821138211382,0.883372734436564,0.9570592277822015
all,source_bucket,from_pool,0.9,12000,1230,1603,9167,0.8939759036144578,0.9048780487804878,0.8993939393939394,0.9570592277822015
all,source_bucket,from_pool,0.95,12000,1230,1603,9167,0.918046357615894,0.9016260162601626,0.9097621000820345,0.9570592277822015
all,source_bucket,natural,0.8,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,source_bucket,natural,0.9,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,source_bucket,natural,0.95,4000,454,148,3398,0.9977777777777778,0.9889867841409692,0.993362831858407,0.9995123831817617
all,source_bucket,random_off_policy,0.8,4000,1233,114,2653,0.9967453213995118,0.9935117599351176,0.9951259138911454,0.9999453578304303
all,source_bucket,random_off_policy,0.9,4000,1233,114,2653,0.996742671009772,0.9927007299270073,0.994717594473791,0.9999453578304303
all,source_bucket,random_off_policy,0.95,4000,1233,114,2653,0.9975550122249389,0.9927007299270073,0.9951219512195123,0.9999453578304303
all,bucket_group,natural,0.8,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,bucket_group,natural,0.9,4000,454,148,3398,0.9911699779249448,0.9889867841409692,0.990077177508269,0.9995123831817617
all,bucket_group,natural,0.95,4000,454,148,3398,0.9977777777777778,0.9889867841409692,0.993362831858407,0.9995123831817617
all,bucket_group,predicted_high_regret,0.8,4000,540,592,2868,0.8205128205128205,0.8888888888888888,0.8533333333333333,0.9364544243774531
all,bucket_group,predicted_high_regret,0.9,4000,540,592,2868,0.85431654676259,0.8796296296296297,0.8667883211678832,0.9364544243774531
all,bucket_group,predicted_high_regret,0.95,4000,540,592,2868,0.8870056497175142,0.8722222222222222,0.8795518207282913,0.9364544243774531
all,bucket_group,predicted_low_margin,0.8,4000,376,524,3100,0.8826530612244898,0.9202127659574468,0.9010416666666667,0.9675775925915404
all,bucket_group,predicted_low_margin,0.9,4000,376,524,3100,0.9222520107238605,0.9148936170212766,0.918558077436582,0.9675775925915404
all,bucket_group,predicted_low_margin,0.95,4000,376,524,3100,0.9424657534246575,0.9148936170212766,0.9284750337381916,0.9675775925915404
all,bucket_group,predicted_teacher_disagreement,0.8,4000,314,487,3199,0.8912386706948641,0.9394904458598726,0.9147286821705426,0.9755253387267265
all,bucket_group,predicted_teacher_disagreement,0.9,4000,314,487,3199,0.930379746835443,0.9363057324840764,0.9333333333333332,0.9755253387267265
all,bucket_group,predicted_teacher_disagreement,0.95,4000,314,487,3199,0.9423076923076923,0.9363057324840764,0.939297124600639,0.9755253387267265
all,bucket_group,random_off_policy,0.8,4000,1233,114,2653,0.9967453213995118,0.9935117599351176,0.9951259138911454,0.9999453578304303
all,bucket_group,random_off_policy,0.9,4000,1233,114,2653,0.996742671009772,0.9927007299270073,0.994717594473791,0.9999453578304303
all,bucket_group,random_off_policy,0.95,4000,1233,114,2653,0.9975550122249389,0.9927007299270073,0.9951219512195123,0.9999453578304303
all,actual_high_regret,False,0.8,14952,271,1744,12937,0.6114942528735632,0.981549815498155,0.7535410764872521,0.9518459340249243
all,actual_high_regret,False,0.9,14952,271,1744,12937,0.689119170984456,0.981549815498155,0.8097412480974124,0.9518459340249243
all,actual_high_regret,False,0.95,14952,271,1744,12937,0.751412429378531,0.981549815498155,0.8512,0.9518459340249243
all,actual_high_regret,True,0.8,5048,2646,121,2281,0.9898238747553816,0.95578231292517,0.9725052874447221,0.9986041026676887
all,actual_high_regret,True,0.9,5048,2646,121,2281,0.9921259842519685,0.9523809523809523,0.971847281141535,0.9986041026676887
all,actual_high_regret,True,0.95,5048,2646,121,2281,0.9940734887396286,0.9508692365835223,0.9719915008692293,0.9986041026676887
all,actual_low_margin,False,0.8,11259,1805,1136,8318,0.93058568329718,0.9506925207756233,0.9405316525075363,0.9900119242663635
all,actual_low_margin,False,0.9,11259,1805,1136,8318,0.9483906770255272,0.9468144044321329,0.9476018852231771,0.9900119242663635
all,actual_low_margin,False,0.95,11259,1805,1136,8318,0.9611486486486487,0.9457063711911358,0.9533649818486457,0.9900119242663635
all,actual_low_margin,True,0.8,8741,1112,729,6900,0.9415357766143106,0.9703237410071942,0.9557130203720106,0.9901397865306154
all,actual_low_margin,True,0.9,8741,1112,729,6900,0.958185053380783,0.9685251798561151,0.9633273703041144,0.9901397865306154
all,actual_low_margin,True,0.95,8741,1112,729,6900,0.9693417493237151,0.966726618705036,0.9680324178298063,0.9901397865306154
all,actual_teacher_disagreement,False,0.8,7809,0,1172,6637,0.0,0.0,0.0,0.0
all,actual_teacher_disagreement,False,0.9,7809,0,1172,6637,0.0,0.0,0.0,0.0
all,actual_teacher_disagreement,False,0.95,7809,0,1172,6637,0.0,0.0,0.0,0.0
