split,gate_id,oracle_positive_count,runtime_fire_count,overlap_count,precision_vs_oracle,recall_vs_oracle,jaccard
test,m2_p0.9_k1,409,150,122,0.8133333333333334,0.2982885085574572,0.2791762013729977
test,m2_p0.9_k2,409,174,141,0.8103448275862069,0.34474327628361856,0.3190045248868778
test,m2_p0.9_k3,409,177,141,0.7966101694915254,0.34474327628361856,0.31685393258426964
test,m2_p0.9_k5,409,181,143,0.7900552486187845,0.34963325183374083,0.319910514541387
test,m2_p0.95_k1,409,147,122,0.8299319727891157,0.2982885085574572,0.28110599078341014
test,m2_p0.95_k2,409,171,141,0.8245614035087719,0.34474327628361856,0.3211845102505695
test,m2_p0.95_k3,409,172,141,0.8197674418604651,0.34474327628361856,0.32045454545454544
test,m2_p0.95_k5,409,176,143,0.8125,0.34963325183374083,0.3235294117647059
test,m2.25_p0.8_k1,409,134,109,0.8134328358208955,0.2665036674816626,0.2511520737327189
test,m2.25_p0.8_k2,409,156,126,0.8076923076923077,0.3080684596577017,0.2870159453302961
test,m2.25_p0.8_k3,409,160,126,0.7875,0.3080684596577017,0.28442437923250563
test,m2.25_p0.8_k5,409,163,127,0.7791411042944786,0.3105134474327628,0.2853932584269663
test,m2.25_p0.85_k1,409,132,108,0.8181818181818182,0.26405867970660146,0.24942263279445728
test,m2.25_p0.85_k2,409,152,125,0.8223684210526315,0.3056234718826406,0.286697247706422
test,m2.25_p0.85_k3,409,155,125,0.8064516129032258,0.3056234718826406,0.2847380410022779
test,m2.25_p0.85_k5,409,158,126,0.7974683544303798,0.3080684596577017,0.2857142857142857
test,m2.25_p0.9_k1,409,130,107,0.823076923076923,0.2616136919315403,0.24768518518518517
test,m2.25_p0.9_k2,409,150,124,0.8266666666666667,0.30317848410757947,0.2850574712643678
test,m2.25_p0.9_k3,409,153,124,0.8104575163398693,0.30317848410757947,0.2831050228310502
test,m2.25_p0.9_k5,409,156,125,0.8012820512820513,0.3056234718826406,0.2840909090909091
test,m2.25_p0.95_k1,409,127,107,0.84251968503937,0.2616136919315403,0.2494172494172494
test,m2.25_p0.95_k2,409,147,124,0.8435374149659864,0.30317848410757947,0.28703703703703703
test,m2.25_p0.95_k3,409,148,124,0.8378378378378378,0.30317848410757947,0.2863741339491917
test,m2.25_p0.95_k5,409,151,125,0.8278145695364238,0.3056234718826406,0.28735632183908044
test,m2.5_p0.8_k1,409,119,97,0.8151260504201681,0.2371638141809291,0.22505800464037123
test,m2.5_p0.8_k2,409,138,113,0.8188405797101449,0.2762836185819071,0.26036866359447003
test,m2.5_p0.8_k3,409,141,113,0.8014184397163121,0.2762836185819071,0.2585812356979405
test,m2.5_p0.8_k5,409,144,114,0.7916666666666666,0.2787286063569682,0.25968109339407747
test,m2.5_p0.85_k1,409,117,96,0.8205128205128205,0.23471882640586797,0.22325581395348837
test,m2.5_p0.85_k2,409,134,112,0.835820895522388,0.27383863080684595,0.25986078886310904
test,m2.5_p0.85_k3,409,137,112,0.8175182481751825,0.27383863080684595,0.25806451612903225
test,m2.5_p0.85_k5,409,140,113,0.8071428571428572,0.2762836185819071,0.2591743119266055
test,m2.5_p0.9_k1,409,115,95,0.8260869565217391,0.23227383863080683,0.22144522144522144
test,m2.5_p0.9_k2,409,132,111,0.8409090909090909,0.2713936430317848,0.25813953488372093
test,m2.5_p0.9_k3,409,135,111,0.8222222222222222,0.2713936430317848,0.25635103926096997
test,m2.5_p0.9_k5,409,138,112,0.8115942028985508,0.27383863080684595,0.2574712643678161
test,m2.5_p0.95_k1,409,112,95,0.8482142857142857,0.23227383863080683,0.22300469483568075
test,m2.5_p0.95_k2,409,129,111,0.8604651162790697,0.2713936430317848,0.25995316159250587
test,m2.5_p0.95_k3,409,130,111,0.8538461538461538,0.2713936430317848,0.25934579439252337
test,m2.5_p0.95_k5,409,133,112,0.8421052631578947,0.27383863080684595,0.26046511627906976
test,m2.75_p0.8_k1,409,99,84,0.8484848484848485,0.20537897310513448,0.19811320754716982
test,m2.75_p0.8_k2,409,116,98,0.8448275862068966,0.2396088019559902,0.22950819672131148
test,m2.75_p0.8_k3,409,118,98,0.8305084745762712,0.2396088019559902,0.22843822843822845
test,m2.75_p0.8_k5,409,120,99,0.825,0.24205378973105135,0.2302325581395349
test,m2.75_p0.85_k1,409,97,83,0.8556701030927835,0.20293398533007334,0.19621749408983452
test,m2.75_p0.85_k2,409,112,97,0.8660714285714286,0.2371638141809291,0.22877358490566038
test,m2.75_p0.85_k3,409,114,97,0.8508771929824561,0.2371638141809291,0.22769953051643194
test,m2.75_p0.85_k5,409,116,98,0.8448275862068966,0.2396088019559902,0.22950819672131148
test,m2.75_p0.9_k1,409,95,82,0.8631578947368421,0.20048899755501223,0.1943127962085308
test,m2.75_p0.9_k2,409,110,96,0.8727272727272727,0.23471882640586797,0.22695035460992907
test,m2.75_p0.9_k3,409,112,96,0.8571428571428571,0.23471882640586797,0.22588235294117648
test,m2.75_p0.9_k5,409,114,97,0.8508771929824561,0.2371638141809291,0.22769953051643194
