split,gate_id,min_delta,safe_probability_threshold,candidate_ev_rank_max,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,oracle_precision,oracle_recall,oracle_jaccard,hard_negative_fired,first_fires,second_fires
test,m2.25_p0.8_k5,2.25,0.8,5,3003,163,0.05427905427905428,3.7972757779747432,3.355897903442383,12,0.0736196319018405,0.456109520792963,3.92293692588806,5.772463798522949,0.7791411042944786,0.3105134474327628,0.2853932584269663,5,73,90
test,m2.25_p0.85_k1,2.25,0.85,1,3003,132,0.04395604395604396,4.214476351485108,3.4417518377304077,6,0.045454545454545456,0.0,1.8433061408996552,5.772463798522949,0.8181818181818182,0.26405867970660146,0.24942263279445728,3,62,70
test,m2.25_p0.85_k2,2.25,0.85,2,3003,152,0.050616050616050616,4.0523574181685325,3.4417518377304077,7,0.046052631578947366,0.0,1.584673099517834,5.772463798522949,0.8223684210526315,0.3056234718826406,0.286697247706422,4,68,84
test,m2.25_p0.85_k3,2.25,0.85,3,3003,155,0.051615051615051616,3.978452360437762,3.397642135620117,8,0.05161290322580645,0.0459329992532704,2.9629024791717655,5.772463798522949,0.8064516129032258,0.3056234718826406,0.2847380410022779,4,69,86
test,m2.25_p0.85_k5,2.25,0.85,5,3003,158,0.052614052614052616,3.933602303832392,3.3863210678100586,9,0.056962025316455694,0.20360991805792045,2.916029753685008,5.772463798522949,0.7974683544303798,0.3080684596577017,0.2857142857142857,5,71,87
test,m2.25_p0.9_k1,2.25,0.9,1,3003,130,0.04329004329004329,4.267714094198667,3.475917100906372,5,0.038461538461538464,0.0,1.8691694450378338,5.772463798522949,0.823076923076923,0.2616136919315403,0.24768518518518517,3,60,70
test,m2.25_p0.9_k2,2.25,0.9,2,3003,150,0.04995004995004995,4.096335209409395,3.465174913406372,6,0.04,0.0,1.6105364036559942,5.772463798522949,0.8266666666666667,0.30317848410757947,0.2850574712643678,4,66,84
test,m2.25_p0.9_k3,2.25,0.9,3,3003,153,0.05094905094905095,4.020601762860429,3.4238569736480713,7,0.0457516339869281,0.0,2.9941509628295737,5.772463798522949,0.8104575163398693,0.30317848410757947,0.2831050228310502,4,67,86
test,m2.25_p0.9_k5,2.25,0.9,5,3003,156,0.05194805194805195,3.974366140098144,3.4107495546340942,8,0.05128205128205128,0.03827749937772751,2.947278237342817,5.772463798522949,0.8012820512820513,0.3056234718826406,0.2840909090909091,5,69,87
test,m2.25_p0.95_k1,2.25,0.95,1,3003,127,0.04229104229104229,4.372393930052209,3.54296875,3,0.023622047244094488,0.0,1.792212347984305,5.772463798522949,0.84251968503937,0.2616136919315403,0.2494172494172494,2,58,69
test,m2.25_p0.95_k2,2.25,0.95,2,3003,147,0.04895104895104895,4.183275362464036,3.4921875,4,0.027210884353741496,0.0,1.4445392656326157,5.772463798522949,0.8435374149659864,0.30317848410757947,0.28703703703703703,3,64,83
test,m2.25_p0.95_k3,2.25,0.95,3,3003,148,0.04928404928404929,4.162515108045694,3.4814453125,4,0.02702702702702703,0.0,1.427155611515047,5.772463798522949,0.8378378378378378,0.30317848410757947,0.2863741339491917,3,65,83
test,m2.25_p0.95_k5,2.25,0.95,5,3003,151,0.05028305028305028,4.111929033963096,3.470703125,5,0.033112582781456956,0.0,1.3750046491622925,5.772463798522949,0.8278145695364238,0.3056234718826406,0.28735632183908044,4,67,84
test,m2.5_p0.8_k1,2.5,0.8,1,3003,119,0.039627039627039624,4.334881958841276,3.560546875,7,0.058823529411764705,0.13705961704253916,2.011417617797843,5.772463798522949,0.8151260504201681,0.2371638141809291,0.22505800464037123,3,55,64
test,m2.5_p0.8_k2,2.5,0.8,2,3003,138,0.04595404595404595,4.111934606795725,3.560546875,10,0.07246376811594203,0.2060167893767377,3.421369838714591,5.772463798522949,0.8188405797101449,0.2762836185819071,0.26036866359447003,3,61,77
test,m2.5_p0.8_k3,2.5,0.8,3,3003,141,0.04695304695304695,4.029423858468414,3.54296875,11,0.07801418439716312,0.505821943283081,3.9902832031249984,5.772463798522949,0.8014184397163121,0.2762836185819071,0.2585812356979405,3,62,79
test,m2.5_p0.8_k5,2.5,0.8,5,3003,144,0.04795204795204795,3.9791514734841056,3.517578125,12,0.08333333333333333,0.5034150719642638,3.9810996198654154,5.772463798522949,0.7916666666666666,0.2787286063569682,0.25968109339407747,4,64,80
test,m2.5_p0.85_k1,2.5,0.85,1,3003,117,0.03896103896103896,4.39803652274303,3.5703125,6,0.05128205128205128,0.10116438865661045,2.0372809219360395,5.772463798522949,0.8205128205128205,0.23471882640586797,0.22325581395348837,3,54,63
test,m2.5_p0.85_k2,2.5,0.85,2,3003,134,0.044622044622044624,4.256545549230789,3.5732421875,7,0.05223880597014925,0.05358849912881764,1.8174428367614586,5.772463798522949,0.835820895522388,0.27383863080684595,0.25986078886310904,3,60,74
test,m2.5_p0.85_k3,2.5,0.85,3,3003,137,0.045621045621045624,4.168459064986584,3.560546875,8,0.058394160583941604,0.2236523866653402,3.244138832092264,5.772463798522949,0.8175182481751825,0.27383863080684595,0.25806451612903225,3,61,76
test,m2.5_p0.85_k5,2.5,0.85,5,3003,140,0.046620046620046623,4.11377100029162,3.560546875,9,0.06428571428571428,0.49057842493057224,3.1972661066055066,5.772463798522949,0.8071428571428572,0.2762836185819071,0.2591743119266055,4,63,77
test,m2.5_p0.9_k1,2.5,0.9,1,3003,115,0.038295038295038296,4.461410669658495,3.576171875,5,0.043478260869565216,0.0,2.063144226074218,5.772463798522949,0.8260869565217391,0.23227383863080683,0.22144522144522144,3,52,63
test,m2.5_p0.9_k2,2.5,0.9,2,3003,132,0.04395604395604396,4.309614071566047,3.58984375,6,0.045454545454545456,0.0,1.8433061408996552,5.772463798522949,0.8409090909090909,0.2713936430317848,0.25813953488372093,3,58,74
test,m2.5_p0.9_k3,2.5,0.9,3,3003,135,0.04495504495504495,4.219043301873737,3.5703125,7,0.05185185185185185,0.04593299925327257,3.275387315750117,5.772463798522949,0.8222222222222222,0.2713936430317848,0.25635103926096997,3,59,76
test,m2.5_p0.9_k5,2.5,0.9,5,3003,138,0.04595404595404595,4.162462999207386,3.5654296875,8,0.057971014492753624,0.20360991805792045,3.2285145902633596,5.772463798522949,0.8115942028985508,0.27383863080684595,0.2574712643678161,4,61,77
test,m2.5_p0.95_k1,2.5,0.95,1,3003,112,0.037296037296037296,4.585298427513668,3.650390625,3,0.026785714285714284,0.0,2.0529671597480785,5.772463798522949,0.8482142857142857,0.23227383863080683,0.22300469483568075,2,50,62
test,m2.5_p0.95_k2,2.5,0.95,2,3003,129,0.04295704295704296,4.413645382306372,3.697265625,4,0.031007751937984496,0.0,1.7574450397491435,5.772463798522949,0.8604651162790697,0.2713936430317848,0.25995316159250587,2,56,73
test,m2.5_p0.95_k3,2.5,0.95,3,3003,130,0.04329004329004329,4.388238554046704,3.650390625,4,0.03076923076923077,0.0,1.7400613856315506,5.772463798522949,0.8538461538461538,0.2713936430317848,0.25934579439252337,2,57,73
test,m2.5_p0.95_k5,2.5,0.95,5,3003,133,0.04428904428904429,4.325714738073206,3.603515625,5,0.03759398496240601,0.0,1.6879104232788205,5.772463798522949,0.8421052631578947,0.27383863080684595,0.26046511627906976,3,59,74
test,m2.75_p0.8_k1,2.75,0.8,1,3003,99,0.03296703296703297,4.698748340510359,3.822265625,7,0.0707070707070707,0.5091768503189085,2.314752883911119,5.772463798522949,0.8484848484848485,0.20537897310513448,0.19811320754716982,3,46,53
test,m2.75_p0.8_k2,2.75,0.8,2,3003,116,0.03862803862803863,4.400402856541091,3.787109375,10,0.08620689655172414,0.5142092108726501,3.8324494361877335,5.772463798522949,0.8448275862068966,0.2396088019559902,0.22950819672131148,3,51,65
test,m2.75_p0.8_k3,2.75,0.8,3,3003,118,0.039294039294039296,4.3223539148851975,3.7490234375,11,0.09322033898305085,0.5908128499984712,4.060690674781799,5.772463798522949,0.8305084745762712,0.2396088019559902,0.22843822843822845,3,51,67
test,m2.75_p0.8_k5,2.75,0.8,5,3003,120,0.03996003996003996,4.28717780734102,3.7490234375,12,0.1,0.556518292427062,4.054568285942079,5.772463798522949,0.825,0.24205378973105135,0.2302325581395349,4,52,68
test,m2.75_p0.85_k1,2.75,0.85,1,3003,97,0.032301032301032304,4.782426863601527,3.83203125,6,0.061855670103092786,0.512531757354736,2.385318412780734,5.772463798522949,0.8556701030927835,0.20293398533007334,0.19621749408983452,3,45,52
test,m2.75_p0.85_k2,2.75,0.85,2,3003,112,0.037296037296037296,4.58372195730252,3.8283207416534424,7,0.0625,0.311830373108383,2.101939182281495,5.772463798522949,0.8660714285714286,0.2371638141809291,0.22877358490566038,3,50,62
test,m2.75_p0.85_k3,2.75,0.85,3,3003,114,0.03796203796203796,4.499718331715517,3.8234379291534424,8,0.07017543859649122,0.5175641179084776,3.6034963941574167,5.772463798522949,0.8508771929824561,0.2371638141809291,0.22769953051643194,3,50,64
test,m2.75_p0.85_k5,2.75,0.85,5,3003,116,0.03862803862803863,4.460271247758947,3.8234379291534424,9,0.07758620689655173,0.5142092108726501,3.5722479104995637,5.772463798522949,0.8448275862068966,0.2396088019559902,0.22950819672131148,4,51,65
test,m2.75_p0.9_k1,2.75,0.9,1,3003,95,0.03163503163503163,4.867235364412006,3.8847484588623047,5,0.05263157894736842,0.15174658298492288,2.4558839416503986,5.772463798522949,0.8631578947368421,0.20048899755501223,0.1943127962085308,3,43,52
test,m2.75_p0.9_k2,2.75,0.9,2,3003,110,0.03663003663003663,4.65335284606977,3.8583898544311523,6,0.05454545454545454,0.08421049863100008,2.1278024864196734,5.772463798522949,0.8727272727272727,0.23471882640586797,0.22695035460992907,3,48,62
test,m2.75_p0.9_k3,2.75,0.9,3,3003,112,0.037296037296037296,4.566605747012155,3.8283207416534424,7,0.0625,0.311830373108383,3.6347448778152476,5.772463798522949,0.8571428571428571,0.23471882640586797,0.22588235294117648,3,48,64
test,m2.75_p0.9_k5,2.75,0.9,5,3003,114,0.03796203796203796,4.525293145524828,3.8283207416534424,8,0.07017543859649122,0.4953921675682067,3.6034963941574167,5.772463798522949,0.8508771929824561,0.2371638141809291,0.22769953051643194,4,49,65
test,m2.75_p0.95_k1,2.75,0.95,1,3003,92,0.030636030636030636,5.031288657499396,3.9244028329849243,3,0.03260869565217391,0.0,2.561732234954846,5.772463798522949,0.8913043478260869,0.20048899755501223,0.1957040572792363,2,41,51
test,m2.75_p0.95_k2,2.75,0.95,2,3003,107,0.03563103563103563,4.788411307836247,3.896017551422119,4,0.037383177570093455,0.0,2.1398854303359944,5.772463798522949,0.897196261682243,0.23471882640586797,0.22857142857142856,2,46,61
test,m2.75_p0.95_k3,2.75,0.95,3,3003,107,0.03563103563103563,4.788411307836247,3.896017551422119,4,0.037383177570093455,0.0,2.1398854303359944,5.772463798522949,0.897196261682243,0.23471882640586797,0.22857142857142856,2,46,61
test,m2.75_p0.95_k5,2.75,0.95,5,3003,109,0.036297036297036296,4.741133806082087,3.896017551422119,5,0.045871559633027525,0.0,2.105118122100833,5.772463798522949,0.8899082568807339,0.2371638141809291,0.23040380047505937,3,47,62
holdout,m1.5_p0.8_k1,1.5,0.8,1,6006,427,0.07109557109557109,3.3360792977748486,2.6171960830688477,30,0.0702576112412178,0.20330822169780705,4.5250885105133065,11.629940032958984,0.7447306791569087,0.3901840490797546,0.34415584415584416,4,212,215
holdout,m1.5_p0.8_k2,1.5,0.8,2,6006,504,0.08391608391608392,3.1092452536381425,2.5300545692443848,42,0.08333333333333333,0.5343386530876149,5.714477396011327,12.74428653717041,0.7341269841269841,0.4539877300613497,0.3898840885142255,5,238,266
holdout,m1.5_p0.8_k3,1.5,0.8,3,6006,525,0.08741258741258741,3.0292397924831937,2.515625,46,0.08761904761904762,0.8822549819946289,5.589727668762201,12.74428653717041,0.7257142857142858,0.46748466257668714,0.397288842544317,5,241,284
holdout,m1.5_p0.8_k5,1.5,0.8,5,6006,538,0.08957708957708958,3.011594059631284,2.500503897666931,47,0.08736059479553904,0.8820547580718994,5.508340611457822,12.74428653717041,0.7286245353159851,0.48098159509202454,0.40790842872008326,6,245,293
holdout,m1.5_p0.85_k1,1.5,0.85,1,6006,423,0.07042957042957043,3.3593657452163965,2.625,28,0.06619385342789598,0.2081639558076853,4.530368680953976,11.629940032958984,0.7470449172576832,0.38773006134969323,0.34273318872017355,4,209,214
holdout,m1.5_p0.85_k2,1.5,0.85,2,6006,498,0.08291708291708291,3.148145111868659,2.5341796875,38,0.07630522088353414,0.5108543038368217,5.7409551906585685,12.74428653717041,0.7389558232931727,0.45153374233128835,0.38941798941798944,5,235,263
holdout,m1.5_p0.85_k3,1.5,0.85,3,6006,516,0.08591408591408592,3.0883745830072913,2.5320392847061157,40,0.07751937984496124,0.6091952323913574,5.646072554588332,12.74428653717041,0.7344961240310077,0.46503067484662575,0.39810924369747897,5,237,279
holdout,m1.5_p0.85_k5,1.5,0.85,5,6006,529,0.08807858807858808,3.0689754212849083,2.5308122634887695,41,0.07750472589792061,0.5259513854980458,5.564685497283953,12.74428653717041,0.7372400756143668,0.4785276073619632,0.4088050314465409,6,241,288
holdout,m1.5_p0.9_k1,1.5,0.9,1,6006,412,0.06859806859806859,3.4166064173417183,2.65763258934021,23,0.055825242718446605,0.1743459105491636,4.54488914966583,11.629940032958984,0.7597087378640777,0.38404907975460123,0.3424507658643326,4,207,205
holdout,m1.5_p0.9_k2,1.5,0.9,2,6006,485,0.08075258075258075,3.205327510710844,2.6015625,32,0.06597938144329897,0.3687054157257033,5.745177993774413,12.74428653717041,0.7525773195876289,0.44785276073619634,0.39037433155080214,5,232,253
