candidate_id,threshold_family,group_type,group,rows,fires,fire_rate,avg_gain,false_positive_rate,p95_loss,max_loss
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,actual_low_margin,8741,458,0.05239675094382794,3.95160842904878,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,not_actual_low_margin,11259,802,0.07123190336619593,5.341381963500358,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,actual_teacher_disagreement,12191,1260,0.10335493396768107,4.836210313675895,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,c1e_split,unbiased,4000,341,0.08525,4.8461995352048675,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,c1e_split,enriched,16000,959,0.0599375,4.70925624713659,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,run_bucket,natural,4000,341,0.08525,4.8461995352048675,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,run_bucket,predicted_high_regret_from_pool,4000,280,0.07,5.84185580611229,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,run_bucket,predicted_low_margin_from_pool,4000,188,0.047,5.172014611832639,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,run_bucket,predicted_teacher_disagreement_from_pool,4000,163,0.04075,5.25166029579069,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,run_bucket,random_off_policy,4000,328,0.082,3.207615061140642,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,actual_high_regret,5048,1300,0.25752773375594296,4.745177525006808,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,actual_low_margin,8741,474,0.05422720512527171,3.8804860514930533,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,not_actual_low_margin,11259,826,0.07336353139710454,5.241380622398478,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,actual_teacher_disagreement,12191,1300,0.1066360429825281,4.745177525006808,0.0,0.0,0.0
confidence_lcb164_m2p0_r0_g0p75,lcb90_medium_relaxed_margin_tighter_gate,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
