oracle_candidate_id,proxy_id,proxy_family,oracle_fires,proxy_fires,intersection,precision_vs_oracle,recall_vs_oracle,jaccard_overlap,rows
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.75_pm0.75,predicted_delta_gate_ev_margin,202,117,107,0.9145299145299145,0.5297029702970297,0.5047169811320755,6006
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.75_pm1,predicted_delta_gate_ev_margin,202,99,91,0.9191919191919192,0.4504950495049505,0.43333333333333335,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.75_k1,predicted_delta_gate_rank_guard,202,135,120,0.8888888888888888,0.594059405940594,0.5529953917050692,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.75_k2,predicted_delta_gate_rank_guard,202,151,133,0.8807947019867549,0.6584158415841584,0.6045454545454545,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.75_k3,predicted_delta_gate_rank_guard,202,161,143,0.8881987577639752,0.7079207920792079,0.65,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.75_k5,predicted_delta_gate_rank_guard,202,161,143,0.8881987577639752,0.7079207920792079,0.65,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.75_l0.5,runtime_lcb_proxy,202,135,121,0.8962962962962963,0.599009900990099,0.5601851851851852,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.75_l1,runtime_lcb_proxy,202,129,117,0.9069767441860465,0.5792079207920792,0.5467289719626168,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.75_l1.64,runtime_lcb_proxy,202,127,116,0.9133858267716536,0.5742574257425742,0.5446009389671361,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.75_l1.96,runtime_lcb_proxy,202,127,116,0.9133858267716536,0.5742574257425742,0.5446009389671361,6006
