candidate_id,group_type,group,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,avg_false_positive_cost,p90_loss,p95_loss,p99_loss,max_loss,positive_fire_count,negative_fire_count,missed_positive_count
source_filtered_lcb196,source_bucket_requested,unknown,6006,164,0.027306027306027308,5.9199452211217185,4.522571802139282,0,0.0,0.0,0.0,0.0,0.0,0.0,164,0,863
source_filtered_lcb196,source_bucket_actual,unknown,6006,164,0.027306027306027308,5.9199452211217185,4.522571802139282,0,0.0,0.0,0.0,0.0,0.0,0.0,164,0,863
source_filtered_lcb196,actual_high_regret,False,4519,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
source_filtered_lcb196,actual_high_regret,True,1487,164,0.11028917283120376,5.9199452211217185,4.522571802139282,0,0.0,0.0,0.0,0.0,0.0,0.0,164,0,764
source_filtered_lcb196,actual_low_margin,False,3386,111,0.03278204370939161,6.494832861530888,5.0967864990234375,0,0.0,0.0,0.0,0.0,0.0,0.0,111,0,529
source_filtered_lcb196,actual_low_margin,True,2620,53,0.020229007633587787,4.71593525724591,3.5011863708496094,0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,334
source_filtered_lcb196,actual_teacher_disagreement,False,2350,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
source_filtered_lcb196,actual_teacher_disagreement,True,3656,164,0.044857768052516414,5.9199452211217185,4.522571802139282,0,0.0,0.0,0.0,0.0,0.0,0.0,164,0,863
confidence_lcb164_m2p0_r0_g0p75,c1e_split,enriched,4804,203,0.042256452955870105,4.171744757685168,3.364980697631836,0,0.0,0.0,0.0,0.0,0.0,0.0,203,0,677
confidence_lcb164_m2p0_r0_g0p75,c1e_split,unbiased,1202,109,0.09068219633943428,5.122685533051097,3.8246102333068848,0,0.0,0.0,0.0,0.0,0.0,0.0,109,0,47
confidence_lcb164_m2p0_r0_g0p75,run_bucket,natural,1202,109,0.09068219633943428,5.122685533051097,3.8246102333068848,0,0.0,0.0,0.0,0.0,0.0,0.0,109,0,47
