config_id,bucket_type,bucket,override_count,avg_gain_on_override,false_positive_count,p95_loss,decision_count
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,35
m2.75_r0_g0.9,no_override_reason,,6,,,,6
m2.75_r0_g0.9,override_fired,False,0,,,,1994
m2.75_r0_g0.9,override_fired,True,6,,,,6
m2.75_r0_g0.9,bucket_group,natural,34,6.077061218373916,1,0.0,
m2.75_r0_g0.9,bucket_group,predicted_high_regret,16,1.7379738092422485,4,3.1262564659118652,
m2.75_r0_g0.9,bucket_group,predicted_low_margin,12,4.486870398124059,0,0.0,
m2.75_r0_g0.9,bucket_group,predicted_teacher_disagreement,9,8.016374905904135,0,0.0,
m2.75_r0_g0.9,bucket_group,random_off_policy,30,3.691513522466024,0,0.0,
m2.75_r0_g0.9,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.75_r0_g0.9,actual_high_regret,True,94,5.04224006673123,2,0.0,
m2.75_r0_g0.9,actual_low_margin,False,53,5.672212807637341,1,0.0,
m2.75_r0_g0.9,actual_low_margin,True,48,3.552825170258681,4,1.264918398857116,
m2.75_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.75_r0_g0.9,actual_teacher_disagreement,True,100,4.7340707433223725,4,0.0,
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,1012
m2.75_r0_g0.9,no_override_reason,same_as_baseline,0,,,,948
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,33
m2.75_r0_g0.9,no_override_reason,,7,,,,7
m2.75_r0_g0.9,override_fired,False,0,,,,1993
m2.75_r0_g0.9,override_fired,True,7,,,,7
m2.75_r0_g0.9,bucket_group,natural,34,6.077061218373916,1,0.0,
m2.75_r0_g0.9,bucket_group,predicted_high_regret,16,1.7379738092422485,4,3.1262564659118652,
m2.75_r0_g0.9,bucket_group,predicted_low_margin,12,4.486870398124059,0,0.0,
m2.75_r0_g0.9,bucket_group,predicted_teacher_disagreement,9,8.016374905904135,0,0.0,
m2.75_r0_g0.9,bucket_group,random_off_policy,30,3.691513522466024,0,0.0,
m2.75_r0_g0.9,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.75_r0_g0.9,actual_high_regret,True,94,5.04224006673123,2,0.0,
m2.75_r0_g0.9,actual_low_margin,False,53,5.672212807637341,1,0.0,
m2.75_r0_g0.9,actual_low_margin,True,48,3.552825170258681,4,1.264918398857116,
m2.75_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.75_r0_g0.9,actual_teacher_disagreement,True,100,4.7340707433223725,4,0.0,
m2.75_r0_g0.9,no_override_reason,same_as_baseline,0,,,,914
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,1046
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,32
m2.75_r0_g0.9,no_override_reason,,8,,,,8
m2.75_r0_g0.9,override_fired,False,0,,,,1992
m2.75_r0_g0.9,override_fired,True,8,,,,8
m2.5_r0_g0.925,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.925,bucket_group,predicted_high_regret,20,2.02907555103302,5,2.4206011772155787,
m2.5_r0_g0.925,bucket_group,predicted_low_margin,14,4.160865264279502,0,0.0,
