config_id,state_key,seed,hand_id,hand_seed,paired_index,seat,seat_swap,predicted_delta,gate_probability,predicted_ev_margin,candidate_rank,reference_margin_raw,model_score,candidate_seat_score,realized_delta_proxy,baseline_action_index,stage8_action_index,final_action_index,teacher_ev_gain_available,source_bucket_available,actual_bucket_available,failure_label
m2.5_r0_g0.7,"{""cards_to_place"":[""4d"",""Jh"",""Th""],""dead_cards"":[""2c"",""2h"",""3c"",""3h"",""5d"",""5s"",""6c"",""7d"",""8d"",""8s"",""Kd"",""Qc""],""hand_id"":2026061905000505,""hero_board"":{""bottom"":[""9c"",""Td"",""Ts""],""middle"":[""Kc"",""Ks""],""top"":[""Qd"",""Qh""]},""opponent_board"":{""bottom"":[""6c"",""8d"",""8s""],""middle"":[""2h"",""3c"",""3h"",""Kd""],""top"":[""7d"",""Qc""]},""paired_index"":505,""seat"":""second"",""seat_swap"":""ba""}",2026061905000505,2026061905000505,2026061905000505,505,second,ba,8.737203598022461,0.7742872292534649,,,0.22495832273266814,22.513431549072266,29.196164,29.196164,4,22,22,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""6h"",""Jc"",""Js""],""dead_cards"":[""2h"",""4d"",""4h"",""4s"",""5h"",""6c"",""7d"",""Kh"",""Qc""],""hand_id"":2026061902000026,""hero_board"":{""bottom"":[""Jd"",""Tc""],""middle"":[""Ad"",""As"",""Ks""],""top"":[""Qd"",""Qh""]},""opponent_board"":{""bottom"":[""4s"",""5h"",""6c"",""7d""],""middle"":[""4d"",""Kh""],""top"":[""Qc""]},""paired_index"":26,""seat"":""first"",""seat_swap"":""ab""}",2026061902000026,2026061902000026,2026061902000026,26,first,ab,9.382425308227539,0.9663468890920014,,,0.06834541168282726,18.427112579345703,31.196164,31.196164,20,15,15,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""7d"",""Jh"",""Kh""],""dead_cards"":[""4d"",""4h"",""6c"",""6d"",""6h"",""8h"",""9c"",""Ad"",""Ah"",""Jd"",""Kc"",""Ts""],""hand_id"":2026061902000921,""hero_board"":{""bottom"":[""7h"",""7s"",""9s""],""middle"":[""4c"",""4s""],""top"":[""Qd"",""Qs""]},""opponent_board"":{""bottom"":[""6c"",""6h"",""9c"",""Jd""],""middle"":[""4h"",""Ad"",""Ah"",""Ts""],""top"":[""Kc""]},""paired_index"":921,""seat"":""second"",""seat_swap"":""ba""}",2026061902000921,2026061902000921,2026061902000921,921,second,ba,5.922882556915283,0.9620841862842744,,,0.14089583500806313,14.731560707092285,31.196164,31.196164,12,20,20,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""2s"",""4d"",""Kc""],""dead_cards"":[""2d"",""3c"",""5h"",""6s"",""7c"",""7s"",""8d"",""Jd"",""Kd"",""Qh"",""Qs"",""Th""],""hand_id"":2026061903000335,""hero_board"":{""bottom"":[""4c"",""8c"",""9c"",""Ac""],""middle"":[""Tc"",""Td""],""top"":[""Ks""]},""opponent_board"":{""bottom"":[""6s"",""7c"",""7s"",""Qh"",""Qs""],""middle"":[""2d"",""5h"",""Th""],""top"":[""Kd""]},""paired_index"":335,""seat"":""second"",""seat_swap"":""ba""}",2026061903000335,2026061903000335,2026061903000335,335,second,ba,4.047387599945068,0.859299892636066,,,0.031204904855564486,8.22411060333252,31.196164,31.196164,21,19,19,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""Ah"",""Qd"",""Td""],""dead_cards"":[""2s"",""3d"",""4h"",""5h"",""5s"",""9d"",""9s"",""Kh"",""Qc""],""hand_id"":2026061903000340,""hero_board"":{""bottom"":[""5d"",""8d"",""Ad"",""Jd""],""middle"":[""3s"",""9c"",""9h""],""top"":[]},""opponent_board"":{""bottom"":[""9d"",""9s""],""middle"":[""3d"",""4h"",""5h""],""top"":[""Kh"",""Qc""]},""paired_index"":340,""seat"":""first"",""seat_swap"":""ab""}",2026061903000340,2026061903000340,2026061903000340,340,first,ab,3.711977481842041,0.9997568306010184,,,0.13406298766082614,6.884339332580566,31.196164,31.196164,10,18,18,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""4s"",""Ah"",""Td""],""dead_cards"":[""3h"",""3s"",""5h"",""6d"",""7c"",""8d"",""8h"",""Ad"",""Jd"",""Kc"",""Kh"",""Qh""],""hand_id"":2026061905000441,""hero_board"":{""bottom"":[""2h"",""2s"",""6c"",""6h""],""middle"":[""9s""],""top"":[""Qd"",""Qs""]},""opponent_board"":{""bottom"":[""5h"",""6d"",""8d"",""8h""],""middle"":[""3s"",""Ad"",""Jd""],""top"":[""Kc"",""Kh""]},""paired_index"":441,""seat"":""second"",""seat_swap"":""ba""}",2026061905000441,2026061905000441,2026061905000441,441,second,ba,3.845654010772705,0.8129777323501874,,,0.11741093451403906,4.0095014572143555,31.196164,31.196164,10,17,17,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""2s"",""5c"",""Ad""],""dead_cards"":[""2c"",""2d"",""3c"",""3d"",""4c"",""7d"",""8h"",""8s"",""Ac"",""Qh"",""Th"",""Ts""],""hand_id"":2026061903000180,""hero_board"":{""bottom"":[""3h"",""3s"",""5d"",""5h""],""middle"":[""Ah""],""top"":[""Kh"",""Ks""]},""opponent_board"":{""bottom"":[""2c"",""2d"",""Th"",""Ts""],""middle"":[""3c"",""3d"",""7d"",""Ac""],""top"":[""Qh""]},""paired_index"":180,""seat"":""second"",""seat_swap"":""ba""}",2026061903000180,2026061903000180,2026061903000180,180,second,ba,10.31473159790039,0.8817966638402973,,,0.23199767741759914,26.739856719970703,34.196163999999996,34.196163999999996,10,20,20,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.9,"{""cards_to_place"":[""2d"",""3d"",""Td""],""dead_cards"":[""3s"",""7d"",""8d"",""9s"",""Ac"",""Kh"",""Qc"",""Qh"",""Ts""],""hand_id"":2026061901000258,""hero_board"":{""bottom"":[""4d"",""6d"",""9d""],""middle"":[""As"",""Js""],""top"":[""Kc"",""Ks""]},""opponent_board"":{""bottom"":[""7d"",""8d"",""9s"",""Ts""],""middle"":[""Ac""],""top"":[""Kh"",""Qc""]},""paired_index"":258,""seat"":""first"",""seat_swap"":""ab""}",2026061901000258,2026061901000258,2026061901000258,258,first,ab,3.383575916290283,0.9269971006910185,,,0.00010302803020234563,1.8719086647033691,-27.196164,-27.196164,15,7,7,0,0,0,tail_loss_audit_required
m2.5_r0_g0.9,"{""cards_to_place"":[""4c"",""Kc"",""Th""],""dead_cards"":[""2s"",""4s"",""5h"",""6h"",""9d"",""Ac"",""Kd"",""Kh"",""Ts""],""hand_id"":2026061901000387,""hero_board"":{""bottom"":[""Jd"",""Js""],""middle"":[""4d"",""4h"",""6s""],""top"":[""Ah"",""As""]},""opponent_board"":{""bottom"":[""5h"",""6h""],""middle"":[""9d"",""Ac"",""Ts""],""top"":[""Kd"",""Kh""]},""paired_index"":387,""seat"":""first"",""seat_swap"":""ab""}",2026061901000387,2026061901000387,2026061901000387,387,first,ab,3.2426414489746094,0.9938697361484538,,,0.19716406165875178,6.9016571044921875,-26.196164,-26.196164,14,22,22,0,0,0,tail_loss_audit_required
m2.5_r0_g0.9,"{""cards_to_place"":[""5d"",""Js"",""Kd""],""dead_cards"":[""5c"",""5h"",""6s"",""Ah"",""Jc"",""Jh"",""Qc"",""Th"",""Ts""],""hand_id"":2026061902000603,""hero_board"":{""bottom"":[""2d"",""4d"",""4h"",""4s""],""middle"":[""8c"",""8h""],""top"":[""Kc""]},""opponent_board"":{""bottom"":[""Jc"",""Jh"",""Th"",""Ts""],""middle"":[""5h"",""Ah""],""top"":[""Qc""]},""paired_index"":603,""seat"":""first"",""seat_swap"":""ab""}",2026061902000603,2026061902000603,2026061902000603,603,first,ab,3.376495361328125,0.9208740351293894,,,0.22615823119113898,7.514008522033691,-25.196164,-25.196164,17,3,3,0,0,0,tail_loss_audit_required
