state_index,audit_groups,rank_high_mc,original_index,action,high_mc_ev,high_mc_se,mc512_ev,mc512_se,predicted_ev,predicted_delta,predicted_delta_reference,predicted_rank_score,is_baseline,is_stage8_candidate,is_model_top1,is_teacher_mc512_best,is_high_mc_best
3787,fired_teacher,10,6,"Jh->bottom,8c->top; discard=Jc",-1.2242947978515624,0.2159795480484664,-1.7718845546875,0.6241250663364298,-1.316230058670044,4.366098880767822,4.432555675506592,-2.6888227462768555,False,False,False,False,False
3787,fired_teacher,11,20,"8c->top,Jc->bottom; discard=Jh",-1.331362701171875,0.21666226581002807,-1.954674578125,0.6259132634809278,-1.659383773803711,4.351617336273193,4.339433193206787,-2.515092372894287,False,False,False,False,False
3787,fired_teacher,12,5,"Jh->middle,8c->bottom; discard=Jc",-1.5291306552734374,0.2173315990385125,-2.3933239765625,0.621294747454659,-2.2860069274902344,3.648252010345459,3.689760684967041,-3.171832323074341,False,False,False,False,False
3787,fired_teacher,13,25,"8c->bottom,Jc->middle; discard=Jh",-1.588164794921875,0.21681038473421574,-2.1546970546875,0.612365336327092,-2.057267189025879,3.9307961463928223,3.933915615081787,-3.0416100025177,False,False,False,False,False
3787,fired_teacher,14,16,"Jh->bottom,Jc->middle; discard=8c",-1.6187547431640623,0.2146895781788656,-1.9671970546875,0.6129678170306184,-1.9526262283325195,3.699460506439209,3.7259926795959473,-2.9755282402038574,False,False,False,False,False
3787,fired_teacher,15,14,"Jh->middle,Jc->bottom; discard=8c",-1.8264471103515625,0.21642734406500808,-2.3019102343749998,0.6177436169008479,-2.0650720596313477,3.835923671722412,3.8474783897399902,-2.7558114528656006,False,False,False,False,False
3787,fired_teacher,16,22,"8c->middle,Jc->middle; discard=Jh",-1.9095290029296874,0.20468026960190772,-2.3883143125,0.5856910901155477,-3.5053582191467285,2.895287036895752,2.759005546569824,-3.8413302898406982,False,False,False,False,False
3787,fired_teacher,17,4,"Jh->middle,8c->middle; discard=Jc",-2.08528683984375,0.2060534304038643,-2.6218855859374997,0.5909562445012619,-3.854541778564453,2.6305031776428223,2.490079879760742,-3.975527286529541,False,False,False,False,False
3787,fired_teacher,18,0,"Jh->top,8c->top; discard=Jc",-2.100346505859375,0.20007036185784272,-2.6566587031249997,0.577488083104187,-3.352848529815674,2.469893455505371,2.421968460083008,-3.840371608734131,False,False,False,False,False
3787,fired_teacher,19,10,"Jh->top,Jc->middle; discard=8c",-2.1060954052734373,0.21070068009005177,-2.6240634765624997,0.6111472800396119,-2.860706329345703,3.0479421615600586,3.0163254737854004,-3.078766345977783,False,False,False,False,False
3787,fired_teacher,20,12,"Jh->middle,Jc->top; discard=8c",-2.218194478515625,0.21223321130881215,-3.0478541406249997,0.6160399295209753,-3.323936939239502,3.2709341049194336,3.227616786956787,-3.174557685852051,False,False,False,False,False
3787,fired_teacher,21,18,"8c->top,Jc->top; discard=Jh",-2.3400259775390624,0.2011841007450554,-3.121081859375,0.5815179302980111,-3.5640270709991455,2.4202489852905273,2.314908504486084,-4.205175876617432,False,False,False,False,False
3787,fired_teacher,22,19,"8c->top,Jc->middle; discard=Jh",-2.4759111953125,0.21159964293426417,-3.2763697656249997,0.6069166225934515,-2.958223342895508,3.253328323364258,3.1868391036987305,-3.4930872917175293,False,False,False,False,False
3787,fired_teacher,23,3,"Jh->middle,8c->top; discard=Jc",-2.5915193378906247,0.2115862210660066,-3.3841747734375,0.6094598758290467,-3.3172285556793213,3.1474456787109375,3.0897703170776367,-3.5134122371673584,False,False,False,False,False
3787,fired_teacher,24,9,"Jh->top,Jc->top; discard=8c",-3.2655911826171873,0.19743930801428358,-3.7484930390624998,0.5668895557343288,-3.843860149383545,2.442409038543701,2.468801975250244,-3.812999725341797,False,False,False,False,False
3787,fired_teacher,25,26,"8c->bottom,Jc->bottom; discard=Jh",-3.5796179658203124,0.20969264804573268,-4.2035711640625,0.6030803680863668,-4.349637508392334,1.7761750221252441,1.7199454307556152,-5.021340847015381,False,False,False,False,False
3787,fired_teacher,26,8,"Jh->bottom,8c->bottom; discard=Jc",-3.6546170292968747,0.20922592219180156,-4.381688671875,0.6013537284857656,-3.8852038383483887,1.8671607971191406,1.9248323440551758,-4.892207622528076,False,False,False,False,False
3787,fired_teacher,27,13,"Jh->middle,Jc->middle; discard=8c",-5.762702573242187,0.1996888425443208,-6.3282254921875,0.5547450303037063,-4.713932991027832,2.3003616333007812,2.2166872024536133,-4.538830757141113,True,False,False,False,False
13644,fired_teacher,1,3,"Qh->bottom,7h->bottom; discard=8h",8.023499071289063,0.26886504523513105,7.7547611171875,0.7604170225774618,8.24478530883789,6.884035587310791,6.704637050628662,-0.5511689186096191,False,True,True,True,True
13644,fired_teacher,2,7,"Qh->bottom,8h->bottom; discard=7h",8.013537197265626,0.2690037176211734,7.7000736171875,0.7604029981919792,6.369051933288574,5.633873462677002,5.559163570404053,-1.1834373474121094,False,False,False,False,False
